user_id,restaurant_id,age,gender,meal_category,review
U202,R202,14,Female,Street Food,Absolutely loved the spices used; it was a delightful experience!
U203,R203,50,Male,Street Food,I found the meal to be quite average; nothing particularly stood out.
U204,R204,52,Female,Vegan,but I wouldn't order it again.
U205,R205,44,Female,Snacks,making it a good value.
U206,R206,65,Female,Snacks,I enjoyed it
U207,R207,43,Female,Chinese,The meal was satisfying
U208,R208,50,Male,Vegan,It was fine
U209,R209,53,Female,Street Food,I found it to be too oily for my liking.
U210,R210,18,Female,Indian Curry,The portion size was generous
U211,R211,12,Male,Snacks,The presentation was impressive
U212,R212,39,Female,Chinese,I was not a fan of the seasoning; it felt a bit off.
U213,R213,16,Female,Vegan,The portion size was generous
U214,R214,13,Male,Street Food,The service was excellent
U215,R215,26,Male,Indian Curry,It was quite disappointing; I expected a lot more flavor.
U216,R216,55,Male,Spicy,Absolutely loved the spices used; it was a delightful experience!
U217,R217,52,Male,Street Food,It was quite disappointing; I expected a lot more flavor.
U218,R218,25,Female,Healthy,but I wouldn't order it again.
U219,R219,57,Female,Cheesy,It was just alright; I wouldn't go out of my way to have it again.
U220,R220,55,Female,Cheesy,Overall
U221,R221,47,Female,Spicy,but I expected more based on the reviews.
U222,R222,29,Female,Street Food,The portion size was generous
U223,R223,49,Female,Street Food,It was fine
U224,R224,52,Male,Cheesy,I was thrilled with how flavorful it was; a real treat!
U225,R225,21,Female,Healthy,and I appreciated the creativity behind it.
U226,R226,25,Female,Healthy,The dish was average; I expected more based on the hype.
U227,R227,17,Male,Healthy,I enjoyed it
U228,R228,30,Male,Street Food,The presentation was impressive
U229,R229,30,Male,Seafood,The consistency was a bit strange; not what I expected.
U230,R230,21,Male,Seafood,The texture was perfect
U231,R231,34,Female,Dessert,and I appreciated the creativity behind it.
U232,R232,31,Male,Healthy,I found it to be too oily for my liking.
U233,R233,44,Female,Healthy,The dish was well-prepared and the flavors were spot on!
U234,R234,58,Male,Street Food,The flavors were unique
U235,R235,51,Male,Chinese,but I feel there are better options available.
U236,R236,34,Female,Chinese,and the taste lived up to expectations.
U237,R237,30,Male,Spicy,and every bite was a joy!
U238,R238,45,Male,Seafood,and every bite was a joy!
U239,R239,52,Male,Indian Curry,The meal had great potential but ultimately fell short.
U240,R240,11,Female,Chinese,The ingredients felt fresh
U241,R241,53,Male,Seafood,though not memorable.
U242,R242,58,Female,Spicy,but I think it could use a bit more spice.
U243,R243,58,Male,Street Food,but I expected more based on the reviews.
U244,R244,40,Female,Chinese,I enjoyed it
U245,R245,52,Female,Chinese,I loved the combination of flavors; it was a delightful surprise.
U246,R246,19,Male,Indian Curry,It was quite disappointing; I expected a lot more flavor.
U247,R247,58,Female,Indian Curry,making it a good value.
U248,R248,64,Female,Indian Curry,but I wouldn't order it again.
U249,R249,57,Female,Chinese,The food was decent
U250,R250,29,Male,Seafood,I found the meal to be quite average; nothing particularly stood out.
U251,R251,27,Male,Snacks,but the seasoning could improve.
U252,R252,11,Male,Street Food,Overall
U253,R253,17,Male,Snacks,I loved the combination of flavors; it was a delightful surprise.
U254,R254,32,Female,Snacks,but the food was just average.
U255,R255,19,Female,Healthy,I was left wanting more; it felt incomplete.
U256,R256,30,Male,Cheesy,but the food was just average.
U257,R257,25,Female,Healthy,The ingredients felt fresh
U258,R258,61,Female,Healthy,making it a good value.
U259,R259,42,Female,Dessert,The consistency was a bit strange; not what I expected.
U260,R260,32,Male,Snacks,Overall
U261,R261,30,Female,Cheesy,making it a memorable dish.
U262,R262,24,Female,Vegan,It was quite disappointing; I expected a lot more flavor.
U263,R263,22,Female,Healthy,It was just alright; I wouldn't go out of my way to have it again.
U264,R264,21,Male,Street Food,but I feel there are better options available.
U265,R265,62,Female,Dessert,though not memorable.
U266,R266,32,Male,Vegan,a satisfying meal that I would recommend.
U267,R267,57,Female,Spicy,but the seasoning could improve.
U268,R268,67,Male,Indian Curry,The overall experience was pleasant
U269,R269,49,Female,Seafood,making it a good value.
U270,R270,35,Female,Dessert,I was left wanting more; it felt incomplete.
U271,R271,23,Female,Street Food,It was okay
U272,R272,53,Male,Chinese,making it a good value.
U273,R273,34,Male,Indian Curry,I found the meal to be quite average; nothing particularly stood out.
U274,R274,37,Female,Dessert,It was fine
U275,R275,21,Female,Spicy,The portion size was generous
U276,R276,27,Female,Street Food,The food was decent
U277,R277,10,Female,Chinese,The flavors were unique
U278,R278,46,Female,Vegan,The food was decent
U279,R279,58,Male,Cheesy,though not memorable.
U280,R280,54,Male,Dessert,The portion size was generous
U281,R281,67,Male,Street Food,I was left wanting more; it felt incomplete.
U282,R282,61,Female,Dessert,making it a memorable dish.
U283,R283,23,Male,Snacks,but I wouldn't order it again.
U284,R284,46,Female,Seafood,I appreciated the effort put into the dish
U285,R285,48,Female,Seafood,The food was decent
U286,R286,58,Male,Cheesy,The service was excellent
U287,R287,52,Male,Snacks,Absolutely loved the spices used; it was a delightful experience!
U288,R288,43,Male,Chinese,but I think it could use a bit more spice.
U289,R289,27,Male,Seafood,The texture was perfect
U290,R290,58,Male,Healthy,I was not a fan of the seasoning; it felt a bit off.
U291,R291,23,Female,Spicy,The meal was satisfying
U292,R292,39,Female,Seafood,I was surprised by how bland the dish turned out to be.
U293,R293,22,Female,Vegan,and every bite was a joy!
U294,R294,67,Male,Healthy,and the taste did not disappoint.
U295,R295,25,Male,Chinese,The overall experience was pleasant
U296,R296,38,Male,Indian Curry,but the seasoning could improve.
U297,R297,56,Female,Street Food,I loved the combination of flavors; it was a delightful surprise.
U298,R298,67,Male,Dessert,I enjoyed it
U299,R299,22,Female,Street Food,but I expected more based on the reviews.
U300,R300,13,Male,Snacks,I enjoyed it
U301,R301,51,Male,Spicy,a satisfying meal that I would recommend.
U302,R302,24,Female,Chinese,but I feel there are better options available.
U303,R303,69,Female,Dessert,but it missed the mark.
U304,R304,39,Male,Snacks,The meal was packed with flavor; I can't wait to have it again!
U305,R305,63,Male,Vegan,The service was excellent
U306,R306,25,Female,Healthy,making it a good value.
U307,R307,29,Male,Cheesy,making it a good value.
U308,R308,50,Male,Seafood,I was surprised by how bland the dish turned out to be.
U309,R309,53,Female,Dessert,Overall
U310,R310,54,Male,Street Food,I was left wanting more; it felt incomplete.
U311,R311,10,Female,Healthy,Overall
U312,R312,39,Female,Dessert,Overall
U313,R313,45,Male,Snacks,The meal had great potential but ultimately fell short.
U314,R314,42,Female,Dessert,I found it to be too oily for my liking.
U315,R315,32,Male,Seafood,It was just alright; I wouldn't go out of my way to have it again.
U316,R316,70,Female,Chinese,and the taste lived up to expectations.
U317,R317,21,Female,Snacks,I was not a fan of the seasoning; it felt a bit off.
U318,R318,24,Female,Snacks,The portion size was generous
U319,R319,29,Male,Chinese,The meal was packed with flavor; I can't wait to have it again!
U320,R320,31,Male,Street Food,The service was excellent
U321,R321,69,Male,Indian Curry,I enjoyed it
U322,R322,57,Male,Vegan,It was quite disappointing; I expected a lot more flavor.
U323,R323,16,Female,Healthy,The service was excellent
U324,R324,67,Male,Street Food,and the taste lived up to expectations.
U325,R325,34,Female,Seafood,It was okay
U326,R326,39,Female,Cheesy,The overall experience was pleasant
U327,R327,32,Male,Indian Curry,I loved the combination of flavors; it was a delightful surprise.
U328,R328,51,Male,Vegan,I was not a fan of the seasoning; it felt a bit off.
U329,R329,59,Male,Dessert,I was left wanting more; it felt incomplete.
U330,R330,50,Male,Indian Curry,I found it to be too oily for my liking.
U331,R331,70,Male,Vegan,but I think it could use a bit more spice.
U332,R332,57,Male,Seafood,but it missed the mark.
U333,R333,33,Male,Healthy,I enjoyed the freshness of the ingredients; it made a difference.
U334,R334,35,Male,Indian Curry,The aroma was inviting
U335,R335,10,Male,Spicy,The meal was satisfying
U336,R336,39,Female,Street Food,It was quite disappointing; I expected a lot more flavor.
U337,R337,55,Male,Street Food,It was just alright; I wouldn't go out of my way to have it again.
U338,R338,44,Female,Street Food,I was surprised by how bland the dish turned out to be.
U339,R339,44,Male,Dessert,I found it to be too oily for my liking.
U340,R340,44,Female,Vegan,The meal had great potential but ultimately fell short.
U341,R341,61,Female,Seafood,making it a memorable dish.
U342,R342,56,Male,Snacks,The presentation was impressive
U343,R343,29,Female,Chinese,The overall experience was pleasant
U344,R344,55,Female,Street Food,and I appreciated the creativity behind it.
U345,R345,57,Female,Indian Curry,and every bite was a joy!
U346,R346,54,Male,Spicy,The texture was perfect
U347,R347,33,Male,Vegan,and the taste lived up to expectations.
U348,R348,27,Male,Healthy,making it a good value.
U349,R349,51,Female,Chinese,I enjoyed it
U350,R350,28,Female,Spicy,The meal had great potential but ultimately fell short.
U351,R351,53,Female,Indian Curry,but it missed the mark.
U352,R352,46,Female,Snacks,The dish was well-prepared and the flavors were spot on!
U353,R353,60,Female,Snacks,The meal was satisfying
U354,R354,22,Male,Spicy,The consistency was a bit strange; not what I expected.
U355,R355,62,Male,Dessert,I appreciated the effort put into the dish
U356,R356,57,Female,Spicy,The presentation was impressive
U357,R357,11,Female,Street Food,I was surprised by how bland the dish turned out to be.
U358,R358,68,Male,Spicy,Absolutely loved the spices used; it was a delightful experience!
U359,R359,15,Female,Street Food,The meal was packed with flavor; I can't wait to have it again!
U360,R360,68,Female,Healthy,I was left wanting more; it felt incomplete.
U361,R361,64,Female,Chinese,I was left wanting more; it felt incomplete.
U362,R362,65,Female,Indian Curry,The consistency was a bit strange; not what I expected.
U363,R363,65,Female,Seafood,I was thrilled with how flavorful it was; a real treat!
U364,R364,38,Male,Indian Curry,I was left wanting more; it felt incomplete.
U365,R365,57,Male,Cheesy,The service was excellent
U366,R366,19,Male,Seafood,It was okay
U367,R367,29,Female,Chinese,It was okay
U368,R368,38,Female,Chinese,The dish was average; I expected more based on the hype.
U369,R369,63,Female,Snacks,The ingredients felt fresh
U370,R370,18,Female,Snacks,I appreciated the effort put into the dish
U371,R371,49,Female,Seafood,but I expected more based on the reviews.
U372,R372,50,Male,Spicy,The service was excellent
U373,R373,22,Male,Vegan,but I wouldn't order it again.
U374,R374,44,Male,Healthy,I found it to be too oily for my liking.
U375,R375,17,Male,Dessert,It was fine
U376,R376,21,Female,Indian Curry,The dish was well-prepared and the flavors were spot on!
U377,R377,54,Female,Snacks,I was thrilled with how flavorful it was; a real treat!
U378,R378,44,Female,Indian Curry,The texture was perfect
U379,R379,65,Male,Cheesy,making it a good value.
U380,R380,24,Female,Chinese,I was thrilled with how flavorful it was; a real treat!
U381,R381,27,Male,Snacks,The texture was perfect
U382,R382,41,Female,Cheesy,but it missed the mark.
U383,R383,18,Male,Healthy,I found it to be too oily for my liking.
U384,R384,45,Female,Indian Curry,The portion size was generous
U385,R385,70,Female,Street Food,though not memorable.
U386,R386,12,Female,Spicy,The presentation was impressive
U387,R387,22,Male,Cheesy,The consistency was a bit strange; not what I expected.
U388,R388,58,Female,Chinese,but it missed the mark.
U389,R389,12,Female,Seafood,a satisfying meal that I would recommend.
U390,R390,21,Male,Chinese,The service was excellent
U391,R391,29,Female,Seafood,I was not a fan of the seasoning; it felt a bit off.
U392,R392,31,Female,Healthy,The food was decent
U393,R393,70,Male,Vegan,but the food was just average.
U394,R394,68,Female,Vegan,The meal was packed with flavor; I can't wait to have it again!
U395,R395,31,Male,Indian Curry,but I feel there are better options available.
U396,R396,43,Male,Seafood,The ingredients felt fresh
U397,R397,68,Female,Cheesy,The food was decent
U398,R398,11,Female,Indian Curry,but I expected more based on the reviews.
U399,R399,14,Male,Street Food,The ingredients felt fresh
U400,R400,63,Female,Spicy,but it missed the mark.
U401,R401,67,Male,Cheesy,The portion size was generous
U402,R402,33,Female,Seafood,The meal had great potential but ultimately fell short.
U403,R403,69,Female,Street Food,but the seasoning could improve.
U404,R404,21,Male,Cheesy,The dish was well-prepared and the flavors were spot on!
U405,R405,40,Female,Spicy,The dish was well-prepared and the flavors were spot on!
U406,R406,29,Female,Indian Curry,The food was decent
U407,R407,23,Male,Spicy,making it a good value.
U408,R408,47,Male,Snacks,but I wouldn't order it again.
U409,R409,54,Female,Healthy,but the food was just average.
U410,R410,33,Female,Healthy,but I expected more based on the reviews.
U411,R411,36,Female,Snacks,The meal was packed with flavor; I can't wait to have it again!
U412,R412,12,Female,Healthy,The flavors were unique
U413,R413,34,Female,Indian Curry,Absolutely loved the spices used; it was a delightful experience!
U414,R414,45,Female,Cheesy,but it missed the mark.
U415,R415,40,Male,Snacks,The ingredients felt fresh
U416,R416,40,Female,Vegan,The service was excellent
U417,R417,15,Female,Cheesy,but I think it could use a bit more spice.
U418,R418,45,Female,Spicy,Overall
U419,R419,11,Female,Indian Curry,The dish was average; I expected more based on the hype.
U420,R420,67,Male,Indian Curry,but I expected more based on the reviews.
U421,R421,44,Female,Spicy,The meal had great potential but ultimately fell short.
U422,R422,56,Female,Dessert,The dish was well-prepared and the flavors were spot on!
U423,R423,70,Male,Spicy,and the taste lived up to expectations.
U424,R424,53,Female,Indian Curry,though not memorable.
U425,R425,11,Female,Dessert,The food was decent
U426,R426,59,Male,Healthy,but the food was just average.
U427,R427,25,Female,Dessert,but I wouldn't order it again.
U428,R428,15,Female,Indian Curry,The consistency was a bit strange; not what I expected.
U429,R429,48,Female,Dessert,but the food was just average.
U430,R430,30,Male,Spicy,but I think it could use a bit more spice.
U431,R431,57,Male,Dessert,The food was decent
U432,R432,61,Male,Seafood,but it missed the mark.
U433,R433,19,Male,Healthy,The portion size was generous
U434,R434,43,Female,Street Food,It was fine
U435,R435,42,Male,Healthy,but the food was just average.
U436,R436,53,Female,Seafood,but I wouldn't order it again.
U437,R437,52,Male,Healthy,The consistency was a bit strange; not what I expected.
U438,R438,41,Female,Indian Curry,I appreciated the effort put into the dish
U439,R439,51,Female,Dessert,but the seasoning could improve.
U440,R440,48,Male,Dessert,The consistency was a bit strange; not what I expected.
U441,R441,36,Male,Chinese,It was just alright; I wouldn't go out of my way to have it again.
U442,R442,44,Female,Healthy,but I expected more based on the reviews.
U443,R443,59,Male,Indian Curry,but it missed the mark.
U444,R444,31,Male,Vegan,but it missed the mark.
U445,R445,65,Male,Snacks,The overall experience was pleasant
U446,R446,24,Female,Dessert,I found it to be too oily for my liking.
U447,R447,70,Female,Indian Curry,The service was excellent
U448,R448,17,Male,Vegan,but I wouldn't order it again.
U449,R449,41,Female,Street Food,Overall
U450,R450,53,Male,Street Food,but the food was just average.
U451,R451,56,Female,Street Food,The dish was well-prepared and the flavors were spot on!
U452,R452,57,Male,Cheesy,The dish was well-prepared and the flavors were spot on!
U453,R453,10,Male,Cheesy,The aroma was inviting
U454,R454,33,Female,Dessert,and the taste lived up to expectations.
U455,R455,48,Male,Healthy,The meal was satisfying
U456,R456,49,Male,Vegan,and the taste lived up to expectations.
U457,R457,62,Male,Street Food,making it a memorable dish.
U458,R458,18,Male,Snacks,The dish was well-prepared and the flavors were spot on!
U459,R459,66,Male,Street Food,I found it to be too oily for my liking.
U460,R460,19,Male,Dessert,though not memorable.
U461,R461,46,Female,Vegan,The meal had great potential but ultimately fell short.
U462,R462,27,Female,Street Food,but the food was just average.
U463,R463,10,Female,Spicy,making it a memorable dish.
U464,R464,59,Female,Indian Curry,It was okay
U465,R465,13,Male,Street Food,making it a good value.
U466,R466,27,Female,Healthy,It was just alright; I wouldn't go out of my way to have it again.
U467,R467,13,Female,Spicy,It was just alright; I wouldn't go out of my way to have it again.
U468,R468,17,Male,Dessert,I enjoyed the freshness of the ingredients; it made a difference.
U469,R469,69,Female,Vegan,Overall
U470,R470,56,Female,Dessert,I found the meal to be quite average; nothing particularly stood out.
U471,R471,46,Male,Chinese,and every bite was a joy!
U472,R472,24,Male,Indian Curry,The presentation was impressive
U473,R473,38,Male,Spicy,I found the meal to be quite average; nothing particularly stood out.
U474,R474,65,Male,Vegan,and the taste did not disappoint.
U475,R475,41,Male,Vegan,The ingredients felt fresh
U476,R476,31,Female,Street Food,The flavors were unique
U477,R477,55,Female,Healthy,making it a memorable dish.
U478,R478,35,Female,Spicy,The overall experience was pleasant
